,xfoot,yfoot,xknee,yknee
100,256.4025974025974,192.5930735930736,403.95081967213116,158.45081967213116
101,256.62909836065575,181.75204918032787,405.4745417515275,155.14052953156823
102,257.4004282655246,171.169164882227,407.2396694214876,152.15702479338842
103,257.08964143426294,161.0597609561753,408.30688935281836,149.25052192066806
104,258.7063829787234,151.35106382978722,409.96390658174096,147.34819532908705
105,258.86041666666665,142.19583333333333,410.61489361702127,145.59148936170212
106,260.27811860940693,132.93456032719837,411.26446280991735,144.3099173553719
107,261.2181069958848,124.04526748971193,411.62054507337524,142.98742138364778
108,262.83261802575106,116.14592274678111,411.7093495934959,142.64837398373984
109,264.55323590814197,108.50521920668058,412.44444444444446,141.86111111111111
110,266.5717299578059,101.31434599156118,413.0126582278481,142.10970464135022
111,268.30962343096235,94.34937238493724,412.0235546038544,142.4154175588865
112,270.59119496855345,88.13207547169812,412.05102040816325,142.85102040816327
113,273.07430997876855,82.25690021231422,411.26359832635984,143.98744769874477
114,276.02947368421053,76.86315789473684,410.8401727861771,146.00431965442763
115,278.6296296296296,71.92592592592592,410.16043956043956,147.83296703296702
116,281.7791932059448,67.42250530785563,409.57752808988766,149.29662921348316
117,285.24945770065074,63.52060737527115,408.3810623556582,151.9376443418014
118,288.4842105263158,60.19157894736842,406.91647855530476,154.8058690744921
119,292.25562372188136,57.4519427402863,405.7648456057007,157.81235154394298
120,296.2229299363057,55.25690021231423,403.3333333333333,162.11258278145695
121,300.8522483940043,53.770877944325484,401.5685840707965,165.70353982300884
122,305.3207547169811,53.0251572327044,399.69736842105266,170.05263157894737
123,310.19279661016947,52.70974576271186,398.02863436123346,174.43832599118943
124,315.39915074309977,53.660297239915074,396.3474576271187,179.14618644067798
125,320.8706140350877,54.81798245614035,394.646186440678,184.77966101694915
126,326.3717391304348,56.64782608695652,392.87904967602594,190.20302375809936
127,331.63577586206895,59.875,391.4503042596349,196.27586206896552
128,337.6463157894737,63.15157894736842,389.88732394366195,202.36418511066398
129,343.4261954261954,67.72349272349273,388.5882352941176,209.19878296146044
130,349.375249500998,73.39121756487026,387.4426559356137,216.00603621730383
131,355.2029288702929,78.74058577405857,386.42942345924456,223.54671968190854
132,360.80379746835445,85.89662447257383,385.2424849699399,231.1442885771543
133,366.4926315789474,92.65894736842105,384.8481781376518,239.1497975708502
134,371.9257731958763,100.89484536082475,383.7959595959596,247.56969696969696
135,377.2881355932203,109.06991525423729,383.8673267326733,255.61782178217823
136,383.26883910386965,117.69857433808554,384.077731092437,264.39915966386553
137,388.4913793103448,126.89224137931035,384.6046065259117,272.97120921305185
138,393.6773504273504,137.07264957264957,385.4189723320158,283.37747035573125
139,398.43617021276594,147.44255319148937,386.59,292.63
140,403.1045081967213,157.5983606557377,388.5061728395062,304.4588477366255
141,407.8991416309013,168.22317596566523,391.0744466800805,314.7364185110664
142,412.28976034858385,179.4313725490196,394.2696177062374,325.67605633802816
143,416.55452436194895,190.538283062645,397.5243664717349,336.99220272904483
144,420.41,202.822,401.7523452157599,348.9343339587242
